,ppl,merry,unmerry,money,lostjob,jobfight,PM,violent
178,-665,1807,1068,49527,5.7,613,67.77,7039
179,3100,2686,1058,-35350,5.8,5638,61.36,9763
180,-218,1181,668,-61678,5.8,244,87.63,7831
181,21342,27700,10462,59807,4.1,6101,66.36,129370
182,-11431,17250,5874,-11877,4,17585,68.04,74074
183,14215,14107,5623,-27790,4.3,12825,75.88,52825
184,7457,17246,6319,-78608,4.2,8735,90.93,80849
185,1211,11110,4213,3417,4.1,4031,93.76,51955
186,-479,16819,7312,-13034,4.3,7069,113.51,98839
187,262,2696,1031,96921,4.3,578,48.72,10105
188,4542,3720,1245,191229,4,2400,76.52,16317
189,-487,3730,1291,-80517,4.2,708,62.43,12155
190,-4811,7957,2327,-19163,4.2,1062,76.32,30073
191,-1952,2987,1136,-8844,4.4,272,66.02,13938
192,-1890,4220,1440,-26774,4,917,103.39,15866
193,-2315,3084,1144,14697,4.2,286,80.29,9614
194,-4110,4655,2045,-111099,4,865,47.48,21939
195,-1668,1252,600,-161367,4,95,45.24,2842
196,-1523,1980,1009,-34710,4.2,254,51.29,9673
197,957,483,176,113200,4.2,4,61.98,1088
198,-1525,2338,1108,-22923,4.3,365,92.35,8787
199,3321,3018,997,-92252,4.1,472,59.04,12279
200,236,1517,631,-1158,4.1,235,81.25,9653
201,16057,23450,10681,-26133,3.8,5283,65.37,136614
202,-9722,14864,6237,23906,3.7,10264,63.18,74814
203,13879,12161,5961,31067,4,11305,82.93,61671
204,7850,14968,6605,57065,4,11686,73.7,104650
205,913,10072,4299,22367,3.9,3543,84.27,57948
206,-1005,15740,7374,51587,4.1,5770,122.33,101915
207,-519,2406,1104,-22491,4,614,54.34,11009
208,4921,3262,1263,-66040,3.9,2177,70.87,17850
209,-728,3174,1325,-30404,3.9,455,74.57,13191
210,-4402,7240,2421,-39571,3.8,901,84.17,32878
211,-1764,2754,1288,-104117,4.2,431,69.25,15586
212,-2818,3885,1595,-112153,3.9,190,100.15,18770
213,-2650,2906,1174,-60087,3.8,136,82.95,11062
214,-3852,4647,2263,53814,3.8,707,73.59,22491
215,-2144,1235,648,107510,3.8,938,35.42,3334
216,-1751,1867,1059,15668,4.1,519,61.28,10439
217,610,495,208,-64120,3.8,2,60.68,1417
218,-577,2223,1124,50745,4.2,382,93.96,10129
219,1463,2692,1022,76153,3.8,6329,83.3,15618
220,152,1322,631,-67476,3.8,383,90.73,11920
